기간,분류,가족,이웃,공공기관,종합,외국인,강력범죄수,유아기,유치원생,나이_10대,나이_20대,나이_30대,나이_40대,나이_50대,나이_60이상,남자,여자,일인당경제수준
2017,서초구,8.95,5.64,5.51,6.7,4344,4708,17761,22253,48211,58758,72747,81803,62695,78605,214389,232788,8.410582387
2017,강남구,8.7,5.52,5.45,6.556666667,4904,7720,18876,23232,63603,80320,93593,102504,81475,97224,271093,294638,9.909327931
2017,송파구,9.05,4.9,4.92,6.29,6616,5576,26516,28860,65785,93672,114399,112048,102782,117688,325253,343113,2.399828836
2017,강동구,8.54,6.02,5.64,6.733333333,4106,4261,16640,18012,42077,61081,71223,72412,74111,87098,221954,224806,0.983042349
2018,종로구,8,4.92,4.23,5.716666667,9690,3690,3930,4748,12585,23757,21225,24120,25819,37212,79301,83785,14.6402205
2018,중구,8.72,5.54,5.67,6.643333333,9443,4030,3979,3718,7834,18245,20667,19166,21079,31127,66554,68704,38.60589392
2018,용산구,8.61,5.89,5.64,6.713333333,15696,3411,7262,7615,17377,32480,38368,37521,36196,52572,119830,125257,8.467642103
2018,성동구,8.15,4.98,5.01,6.046666667,7946,2457,12309,11052,23391,46986,53436,49764,49591,62722,155652,161545,4.323502429
2018,광진구,8.51,5.63,5.88,6.673333333,14967,3915,11124,12066,29609,61139,60183,56514,56390,68007,179120,190879,NA
2018,동대문구,8.16,4.35,4.66,5.723333333,15545,3680,11257,11952,27100,54655,53034,54557,55873,82128,180817,185284,1.066954201
2018,중랑구,8.51,5.72,5.7,6.643333333,4745,4288,13070,13544,31054,57725,62451,62341,72064,92064,203014,206044,0.494181754
2018,성북구,8.42,5.25,4.98,6.216666667,11543,3042,14339,17458,40532,63832,62700,74115,68448,96607,217656,231918,2.113674278
2018,강북구,8.46,5.27,5.66,6.463333333,3700,3437,8789,10457,25690,44090,43919,51280,54363,81988,158263,166013,NA
2018,도봉구,8.55,5.51,5.42,6.493333333,2114,2249,10387,12167,30150,46335,46021,53821,59724,82271,167726,175264,0.706982711
2018,노원구,8.96,5.07,5.4,6.476666667,4158,4007,17521,21274,61372,76874,72189,94670,89813,113198,267318,283751,0.674222284
2018,은평구,8.87,4.68,4.99,6.18,4432,3590,15677,18128,43288,65461,71924,80712,77870,110357,236029,251820,0.559828963
2018,서대문구,8.63,5.32,5.27,6.406666667,11913,2802,10246,10965,25831,48487,45461,49622,49403,70569,153727,168770,1.892811406
2018,마포구,8.93,5.83,5.79,6.85,10926,5172,13761,13999,31099,59256,66824,63762,53654,71751,182174,202858,2.676489227
2018,양천구,7.41,5.51,5.5,6.14,3824,3515,14932,20410,55386,62409,63481,83405,78174,87924,231360,238585,1.477492047
2018,강서구,8.51,4.06,5.24,5.936666667,6652,4629,23592,23623,50045,87645,107220,94895,91435,119961,294128,310940,1.512006915
2018,구로구,8.82,5.16,5.75,6.576666667,33090,4810,15406,16595,32896,55346,66191,65497,64325,89888,220323,218911,1.281688121
2018,금천구,9.03,5.37,5.9,6.766666667,19599,3293,7314,7373,17155,35202,35855,35696,41910,52255,129482,122877,1.910833376
2018,영등포구,8,5.34,5.58,6.306666667,35147,5840,13887,12754,26552,55512,66153,57204,57088,79427,203134,200590,10.2079911
2018,동작구,8.31,4.04,4.84,5.73,12412,3100,13686,14481,30880,65085,65926,61704,59006,84745,198184,209741,1.528964883
2018,관악구,8.93,5.72,5.84,6.83,17729,5026,13751,14086,33088,104293,91592,73357,70743,103046,261905,259780,0.680908978
2018,서초구,8.17,5.2,5.19,6.186666667,4132,4726,16063,21747,47417,57850,69785,80471,62773,81301,211513,230026,10.22514659
2018,강남구,8.13,5.73,5.89,6.583333333,4998,7513,16800,22804,61300,77218,88298,99786,79311,98740,263137,286118,12.84822896
2018,송파구,8.55,5.65,5.48,6.56,6690,5807,25633,28510,63813,95101,114702,110589,103576,124968,327054,346528,2.797539127
2018,강동구,8.35,5.31,4.3,5.986666667,4287,3919,15270,17072,39640,58915,68162,69617,71772,90257,215558,219434,1.27780281
